facultad,carrera,legajo,anio_ingreso,titulo,anio_egreso,duracion
Facultad de Ciencias Físico Matemáticas y Naturales,TÉCNICO UNIVERSITARIO EN MICROPROCESADORES,313587,1987,TÉCNICO UNIVERSITARIO EN MICROPROCESADORES,1991,4
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS GEOLÓGICAS,304383,1983,LICENCIADO EN CIENCIAS GEOLÓGICAS( O.Y.M.),2005,22
Facultad de Ciencias Humanas,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN,404098,1998,LICENCIADO EN CIENCIAS DE LA EDUCACION,2010,12
Facultad de Ciencias Humanas,PROFESORADO EN CIENCIAS DE LA EDUCACIÓN,462198,1998,PROFESOR DE ENSEÑANZA MEDIA Y SUPERIOR EN CIENCIAS DE LA EDUCACIÓN,2002,4
"Instituto Politécnico y Artístico Universitario ""M.A.López""",TECNICATURA EN ADMINISTRACION Y GESTIÓN DE INSTITUCIONES UNIVERSITARIAS,6023007,2007,TECNICO  EN  ADMINISTRACION Y GESTIÓN DE INSTITUCIONES UNIVERSITARIAS,2009,2
Facultad de Ciencias Físico Matemáticas y Naturales,INGENIERÍA EN MINERIA,334385,1985,INGENIERO EN MINERÍA,1991,6
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,300778,1978,PROGRAMADOR SUPERIOR,1985,7
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO DE TERCER CICLO DE LA ENSEÑANZA GENERAL BÁSICA Y DE LA EDUCACIÓN POLIMODAL EN MATEMÁTICA,3052605,2005,PROFESOR DE TERCER CICLO DE LA ENSEÑANZA GENERAL BÁSICA Y DE LA EDUCACIÓN POLIMODAL EN MATEMÁTICA,2011,6
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS MATEMÁTICAS,349389,1989,LICENCIADO EN CIENCIAS MATEMÁTICAS,1995,6
Facultad de Turismo y Urbanismo,"TÉCNICO UNIVERSITARIO EN PARQUES, JARDINES Y FLORICULTURA.",6536597,1997,"TECNICO  UNIVERSITARIO  EN  PARQUES, JARDINES  Y  FLORICULTURA",2003,6
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO DE TERCER CICLO DE LA ENSEÑANZA GENERAL BÁSICA Y DE LA EDUCACIÓN POLIMODAL EN MATEMÁTICA,3050302,2002,PROFESOR DE TERCER CICLO DE LA ENSEÑANZA GENERAL BÁSICA Y DE LA EDUCACIÓN POLIMODAL EN MATEMÁTICA,2009,7
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,309779,1979,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,1998,19
Facultad de Ciencias Físico Matemáticas y Naturales,"PROFESORADO DE ENSEÑANZA MEDIA Y SUPERIOR EN MATEMÁTICA,FÍSICA Y COSMOGRAFÍA",301877,1977,PROFESOR DE ENSEÑANZA MEDIA Y SUPERIOR EN MATEMÁTICAS FISICA Y COSMOGRAFÍA,1998,21
Facultad de Química Bioquímica y Farmacia,FARMACIA,928700,1976,FARMACÉUTICO,1999,23
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO DE ENSEÑANZA MEDIA Y SUPERIOR EN MATEMÁTICA,345796,1996,PROFESOR DE MATEMÁTICA,2002,6
Facultad de Ciencias Físico Matemáticas y Naturales,TECNICATURA UNIVERSITARIA EN GEOINFORMÁTICA,3049407,2007,TÉCNICO UNIVERSITARIO EN GEOINFORMÁTICA,2011,4
Facultad de Ciencias Físico Matemáticas y Naturales,INGENIERÍA EN MINERIA,333785,1985,INGENIERO EN MINAS,1987,2
Facultad de Ciencias Físico Matemáticas y Naturales,INGENIERÍA EN MINERIA,332785,1985,INGENIERO EN MINERÍA,1990,5
Facultad de Química Bioquímica y Farmacia,PROFESORADO EN QUÍMICA,246298,1998,PROFESOR DE ENSEÑANZA MEDIA Y SUPERIOR EN QUÍMICA,2001,3
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN MATEMÁTICA,3000416,2016,PROFESOR DE MATEMÁTICA,2022,6
Facultad de Química Bioquímica y Farmacia,LICENCIATURA EN BIOQUÍMICA,235180,1980,LICENCIADO EN BIOQUÍMICA,1996,16
Facultad de Ciencias Físico Matemáticas y Naturales,TÉCNICO UNIVERSITARIO EN MICROPROCESADORES,337386,1986,TÉCNICO UNIVERSITARIO EN MICROPROCESADORES,1991,5
Facultad de Turismo y Urbanismo,"TÉCNICO UNIVERSITARIO EN PARQUES, JARDINES Y FLORICULTURA.",6533097,1997,"TECNICO  UNIVERSITARIO  EN  PARQUES, JARDINES  Y  FLORICULTURA",1999,2
Facultad de Ciencias Humanas,LICENCIATURA EN COMUNICACIÓN SOCIAL,4080899,1999,LICENCIADO EN COMUNICACIÓN SOCIAL,2018,19
Facultad de Ciencias Humanas,PERIODISMO,622293,1993,PERIODISTA UNIVERSITARIO,2001,8
"Instituto Politécnico y Artístico Universitario ""M.A.López""",TECNICATURA EN ADMINISTRACION Y GESTIÓN DE INSTITUCIONES UNIVERSITARIAS,6049815,2015,TÉCNICO EN ADMINISTRACION Y GESTIÓN DE INSTITUCIONES UNIVERSITARIAS,2019,4
"Instituto Politécnico y Artístico Universitario ""M.A.López""",TÉCNICO  UNIVERSITARIO  EN  MANTENIMIENTO  INDUSTRIAL,6537297,1997,TÉCNICO  UNIVERSITARIO  EN  MANTENIMIENTO  INDUSTRIAL,2002,5
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS MATEMÁTICAS,321992,1992,LICENCIADO EN CIENCIAS MATEMÁTICAS,2002,10
"Instituto Politécnico y Artístico Universitario ""M.A.López""",DISEÑO GRÁFICO PUBLICITARIO,6664294,1994,TECNICO UNIVERSITARIO EN DISEÑO GRAFICO PUBLICITARIO,1996,2
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,303278,1978,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,1998,20
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS GEOLÓGICAS,318683,1983,LICENCIADO EN CIENCIAS GEOLÓGICAS( O.Y.M.),1998,15
Facultad de Química Bioquímica y Farmacia,FARMACIA,200380,1980,FARMACÉUTICO,1997,17
Facultad de Ciencias Físico Matemáticas y Naturales,"PROFESORADO DE ENSEÑANZA MEDIA Y SUPERIOR EN MATEMÁTICA,FÍSICA Y COSMOGRAFÍA",302085,1985,PROFESOR DE ENSEÑANZA MEDIA Y SUPERIOR EN MATEMÁTICA FÍSICA Y COSMOGRAFÍA,1994,9
Facultad de Ingeniería y Ciencias Agropecuarias,TECNICATURA UNIVERSITARIA EN DISEÑO MECÁNICO ORIENTACIÓN INFORMÁTICA,5059707,2007,TÉCNICO UNIVERSITARIO EN DISEÑO MECÁNICO ORIENTACIÓN INFORMÁTICA,2012,5
Facultad de Ingeniería y Ciencias Agropecuarias,TECNICATURA UNIVERSITARIA EN MANTENIMIENTO INDUSTRIAL,5631892,1992,TÉCNICO UNIVERSITARIO EN MANTENIMIENTO INDUSTRIAL,2013,21
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN FÍSICA,337095,1995,LICENCIADO EN FÍSICA,1999,4
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS GEOLÓGICAS,303478,1978,LICENCIADO EN CIENCIAS GEOLÓGICAS (O.Y.M.),2006,28
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO DE ENSEÑANZA MEDIA Y SUPERIOR EN FÍSICA,346096,1996,PROFESOR DE ENSEÑANZA MEDIA Y SUPERIOR EN FÍSICA,1999,3
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS GEOLÓGICAS,313180,1980,LICENCIADO EN CIENCIAS GEOLÓGICAS (O.Y.M.),2006,26
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN FÍSICA,325991,1991,AUXILIAR EN FÍSICA APLICADA,2001,10
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,348486,1986,PROFESOR EN ENSEÑANZA MEDIA Y SUPERIOR EN COMPUTACIÓN,1989,3
Facultad de Ciencias Físico Matemáticas y Naturales,INGENIERÍA EN MINERIA,334285,1985,INGENIERO EN MINERÍA,1990,5
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,3045007,2007,PROFESOR EN CIENCIAS DE LA COMPUTACIÓN,2011,4
Facultad de Química Bioquímica y Farmacia,FARMACIA,204779,1979,FARMACÉUTICO,2000,21
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,340196,1996,PROFESOR EN ENSEÑANZA MEDIA Y SUPERIOR EN COMPUTACIÓN,1997,1
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,330988,1988,PROFESOR EN ENSEÑANZA MEDIA Y SUPERIOR EN COMPUTACIÓN,1991,3
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,319283,1983,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,1991,8
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,3104702,2002,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,2012,10
Facultad de Ciencias Físico Matemáticas y Naturales,TECNICATURA UNIVERSITARIA EN WEB,3000709,2009,TÉCNICO UNIVERSITARIO EN WEB,2017,8
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,349386,1986,PROFESOR EN ENSEÑANZA MEDIA Y SUPERIOR EN COMPUTACIÓN,1988,2
Facultad de Ciencias Físico Matemáticas y Naturales,PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,3066301,2001,PROFESOR EN CIENCIAS DE LA COMPUTACIÓN,2002,1
Facultad de Ciencias Físico Matemáticas y Naturales,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,316081,1981,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,2002,21
