carrera,egresados
LICENCIATURA EN PSICOLOGÍA,1355
FARMACIA,1222
LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,1079
LICENCIATURA EN ENFERMERÍA,801
PROFESORADO DE EDUCACIÓN INICIAL,750
PROFESORADO EN CIENCIAS DE LA EDUCACIÓN,647
CONTADOR PÚBLICO NACIONAL,603
BIOQUÍMICA,563
LICENCIATURA EN COMUNICACIÓN SOCIAL,455
LICENCIATURA EN FONOAUDIOLOGÍA,429
LICENCIATURA EN BIOLOGÍA MOLECULAR,421
LICENCIATURA EN BIOQUÍMICA,421
TECNICATURA UNIVERSITARIA EN SECRETARIADO EJECUTIVO (M.D.),375
LICENCIATURA EN NUTRICIÓN,351
PROFESORADO EN PSICOLOGÍA,344
PROFESORADO DE EDUCACIÓN ESPECIAL,288
LICENCIATURA EN TRABAJO SOCIAL,287
LICENCIATURA EN QUÍMICA,283
INGENIERÍA AGRONÓMICA,261
ENFERMERIA UNIVERSITARIA,260
TECNICATURA EN ADMINISTRACION Y GESTIÓN DE INSTITUCIONES UNIVERSITARIAS,257
PROFESORADO DE ENSEÑANZA DIFERENCIADA,250
LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,228
LICENCIATURA EN FÍSICA,214
LICENCIATURA EN CIENCIAS GEOLÓGICAS,211
LICENCIATURA EN CIENCIAS BIOLÓGICAS,185
INGENIERÍA ELECTROMECÁNICA,183
LICENCIATURA EN ADMINISTRACIÓN,181
LICENCIATURA EN PRODUCCIÓN DE RADIO Y TELEVISIÓN,174
ANALISTA QUÍMICO,172
TÉCNICO UNIVERSITARIO EN MICROPROCESADORES,167
TECNICATURA UNIVERSITARIA EN HIGIENE Y SEGURIDAD EN EL TRABAJO,166
LICENCIATURA EN PSICOMOTRICIDAD,159
INGENIERÍA INDUSTRIAL,147
PERIODISMO,145
TECNICATURA UNIVERSITARIA EN MANTENIMIENTO INDUSTRIAL,145
PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,141
ABOGACÍA,138
INGENIERÍA ELECTRÓNICA CON ORIENTACIÓN EN SISTEMAS DIGITALES,136
PROFESORADO DE ENSEÑANZA PRE-PRIMARIA,133
PROFESORADO EN QUÍMICA,133
